date,nhs_name,sgtf,other,perc,t,n
2020-11-15,East of England,42,258,0.14,46,300
2020-11-15,London,120,681,0.149812734082397,46,801
2020-11-15,Midlands,35,1712,0.02003434459072696,46,1747
2020-11-15,North East and Yorkshire,48,2383,0.01974496092143151,46,2431
2020-11-15,North West,21,1535,0.013496143958868894,46,1556
2020-11-15,South East,183,635,0.2237163814180929,46,818
2020-11-15,South West,23,405,0.053738317757009345,46,428
2020-11-16,East of England,85,486,0.14886164623467601,47,571
2020-11-16,London,253,1189,0.1754507628294036,47,1442
2020-11-16,Midlands,71,2999,0.023127035830618894,47,3070
2020-11-16,North East and Yorkshire,80,3531,0.022154527831625588,47,3611
2020-11-16,North West,28,2247,0.012307692307692308,47,2275
2020-11-16,South East,368,1028,0.2636103151862464,47,1396
2020-11-16,South West,40,638,0.058997050147492625,47,678
2020-11-17,East of England,115,544,0.17450682852807284,48,659
2020-11-17,London,251,1021,0.19732704402515724,48,1272
2020-11-17,Midlands,82,3125,0.02556906766448394,48,3207
2020-11-17,North East and Yorkshire,121,3190,0.036544850498338874,48,3311
2020-11-17,North West,23,1958,0.011610297829379102,48,1981
2020-11-17,South East,319,804,0.2840605520926091,48,1123
2020-11-17,South West,33,465,0.06626506024096386,48,498
2020-11-18,East of England,109,454,0.1936056838365897,49,563
2020-11-18,London,247,948,0.20669456066945607,49,1195
2020-11-18,Midlands,94,2942,0.030961791831357048,49,3036
2020-11-18,North East and Yorkshire,91,2790,0.031586254772648384,49,2881
2020-11-18,North West,24,1776,0.013333333333333334,49,1800
2020-11-18,South East,329,726,0.3118483412322275,49,1055
2020-11-18,South West,22,321,0.0641399416909621,49,343
2020-11-19,East of England,104,359,0.22462203023758098,50,463
2020-11-19,London,234,896,0.20707964601769913,50,1130
2020-11-19,Midlands,52,2527,0.02016285381930981,50,2579
2020-11-19,North East and Yorkshire,71,2244,0.030669546436285097,50,2315
2020-11-19,North West,24,1425,0.016563146997929608,50,1449
2020-11-19,South East,288,592,0.32727272727272727,50,880
2020-11-19,South West,17,324,0.04985337243401759,50,341
2020-11-20,East of England,72,304,0.19148936170212766,51,376
2020-11-20,London,221,798,0.2168792934249264,51,1019
2020-11-20,Midlands,70,2332,0.029142381348875937,51,2402
2020-11-20,North East and Yorkshire,66,1945,0.03281949278965689,51,2011
2020-11-20,North West,18,1356,0.013100436681222707,51,1374
2020-11-20,South East,305,558,0.35341830822711473,51,863
2020-11-20,South West,29,262,0.09965635738831616,51,291
2020-11-21,East of England,68,263,0.2054380664652568,52,331
2020-11-21,London,182,575,0.2404227212681638,52,757
2020-11-21,Midlands,59,1717,0.03322072072072072,52,1776
2020-11-21,North East and Yorkshire,40,1455,0.026755852842809364,52,1495
2020-11-21,North West,17,984,0.016983016983016984,52,1001
2020-11-21,South East,295,483,0.3791773778920309,52,778
2020-11-21,South West,19,196,0.08837209302325581,52,215
2020-11-22,East of England,98,296,0.24873096446700507,53,394
2020-11-22,London,201,564,0.2627450980392157,53,765
2020-11-22,Midlands,62,1606,0.03717026378896882,53,1668
